Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Boris Diaw\diawbo01,PF,23,PHO,81,70,35.5,5.5,10.5,.526,0.1,0.4,.267,5.4,10.2,.536,.531,2.1,2.9,.731,2.0,4.9,6.9,6.2,0.7,1.0,2.3,3.2,13.3
Dan Dickau\dickada01,PG,27,BOS,19,0,12.3,0.9,2.4,.370,0.5,1.1,.500,0.4,1.4,.269,.478,0.9,0.9,1.000,0.3,0.6,0.8,2.1,0.6,0.1,0.9,2.1,3.3
Travis Diener\dienetr01,PG,23,ORL,23,0,10.7,1.3,3.0,.420,1.1,2.5,.439,0.2,0.5,.333,.601,0.2,0.3,.833,0.2,0.7,0.9,0.7,0.3,0.0,0.4,1.0,3.8
Ike Diogu\dioguik01,PF,22,GSW,69,14,14.9,2.5,4.8,.524,0.0,0.0,,2.5,4.8,.524,.524,2.0,2.4,.810,1.4,1.9,3.3,0.4,0.2,0.4,1.1,2.4,7.0
DeSagana Diop\diopde01,C,24,DAL,81,45,18.6,0.9,1.9,.487,0.0,0.0,.500,0.9,1.9,.487,.490,0.5,0.9,.542,1.8,2.8,4.6,0.3,0.5,1.8,0.4,3.1,2.3
Juan Dixon\dixonju01,SG,27,POR,76,42,25.3,4.7,10.8,.435,0.9,2.2,.382,3.8,8.6,.449,.474,2.1,2.6,.804,0.4,1.9,2.3,2.0,0.8,0.1,1.5,2.1,12.3
Michael Doleac\doleami01,C,28,MIA,31,3,12.0,1.2,2.8,.420,0.0,0.0,,1.2,2.8,.420,.420,0.8,1.0,.800,0.7,2.0,2.7,0.3,0.3,0.2,0.5,1.5,3.2
Keyon Dooling\doolike01,PG,25,ORL,50,7,22.7,3.6,8.1,.440,0.3,0.9,.302,3.3,7.2,.456,.456,2.0,2.4,.835,0.2,1.3,1.6,2.2,1.0,0.1,1.6,2.3,9.4
Chris Duhon\duhonch01,PG,23,CHI,74,38,29.1,2.9,7.3,.400,1.4,3.8,.360,1.6,3.5,.442,.493,1.6,1.9,.818,0.4,2.6,3.0,5.0,0.9,0.0,1.6,2.1,8.7
Tim Duncan\duncati01,PF,29,SAS,80,80,34.8,7.2,14.8,.484,0.0,0.1,.400,7.2,14.8,.485,.485,4.2,6.7,.629,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6
Mike Dunleavy\dunlemi02,SF,25,GSW,81,68,31.8,4.1,10.1,.406,0.9,3.2,.285,3.2,6.9,.462,.451,2.4,3.1,.778,1.0,4.0,4.9,2.9,0.7,0.4,1.5,2.5,11.5
Ronald Dupree\duprero01,SF,25,MIN,36,0,7.4,0.9,1.8,.524,0.0,0.0,.000,0.9,1.7,.532,.524,0.4,1.1,.341,0.6,0.8,1.4,0.4,0.3,0.0,0.4,1.2,2.2
John Edwards\edwarjo01,C,24,ATL,40,4,7.4,0.8,1.6,.484,0.0,0.0,,0.8,1.6,.484,.484,0.2,0.3,.727,0.5,0.8,1.2,0.1,0.1,0.4,0.3,1.9,1.8
Howard Eisley\eisleho01,PG,33,TOT,32,0,12.3,1.1,3.2,.330,0.4,1.3,.310,0.7,1.9,.344,.393,0.6,0.8,.833,0.1,0.9,1.0,2.2,0.3,0.1,0.7,1.1,3.2
Howard Eisley\eisleho01,PG,33,LAC,13,0,8.6,0.3,1.3,.235,0.1,0.3,.250,0.2,1.0,.231,.265,0.0,0.0,,0.1,1.0,1.1,1.9,0.2,0.0,0.2,0.8,0.7
Howard Eisley\eisleho01,PG,33,DEN,19,0,14.8,1.6,4.5,.349,0.6,2.0,.316,0.9,2.5,.375,.419,1.1,1.3,.833,0.1,0.9,1.0,2.3,0.4,0.1,0.9,1.2,4.8
Monta Ellis\ellismo01,SG,20,GSW,49,3,18.1,2.7,6.5,.415,0.6,1.7,.341,2.1,4.8,.441,.459,0.9,1.2,.712,0.4,1.7,2.1,1.6,0.7,0.2,1.2,1.4,6.8
Francisco Elson\elsonfr01,C,29,DEN,72,54,21.9,2.1,3.9,.532,0.0,0.1,.200,2.1,3.9,.538,.533,0.7,1.0,.662,1.4,3.3,4.7,0.7,0.8,0.6,0.9,2.9,4.9
Melvin Ely\elyme01,PF,27,CHA,57,22,23.6,3.8,7.5,.508,0.0,0.0,.000,3.8,7.4,.511,.508,2.2,3.4,.667,1.6,3.2,4.9,1.3,0.5,0.8,1.8,2.8,9.8
Maurice Evans\evansma01,SG,27,DET,80,1,14.2,1.9,4.3,.452,0.5,1.5,.371,1.4,2.8,.493,.515,0.7,0.8,.800,1.0,1.1,2.0,0.8,0.5,0.2,0.5,1.5,5.0
Reggie Evans\evansre01,PF,25,TOT,67,25,20.8,2.0,4.0,.489,0.0,0.0,.000,2.0,4.0,.491,.489,1.7,3.2,.530,2.6,4.9,7.5,0.6,0.6,0.1,1.3,2.5,5.6
Reggie Evans\evansre01,PF,25,SEA,41,23,19.2,2.1,4.2,.509,0.0,0.0,.000,2.1,4.2,.512,.509,1.6,2.9,.550,2.8,4.0,6.7,0.6,0.6,0.1,1.0,2.3,5.9
Reggie Evans\evansre01,PF,25,DEN,26,2,23.3,1.7,3.7,.453,0.0,0.0,,1.7,3.7,.453,.453,1.9,3.7,.505,2.2,6.5,8.7,0.6,0.6,0.2,1.7,2.7,5.2
Daniel Ewing\ewingda01,SG,22,LAC,66,5,14.7,1.5,3.9,.380,0.3,1.2,.282,1.1,2.7,.424,.424,0.5,0.7,.783,0.3,0.9,1.3,1.3,0.6,0.1,0.9,1.3,3.8
Noel Felix\felixno01,SF,24,SEA,12,0,6.8,0.5,2.1,.240,0.1,0.3,.333,0.4,1.8,.227,.260,0.4,0.7,.625,0.3,0.8,1.1,0.2,0.2,0.3,0.7,1.1,1.5
Raymond Felton\feltora01,PG,21,CHA,80,54,30.1,4.3,11.0,.391,1.2,3.4,.358,3.1,7.7,.405,.446,2.0,2.8,.725,1.0,2.4,3.3,5.6,1.3,0.1,2.3,2.3,11.9
Michael Finley\finlemi01,SG,32,SAS,77,18,26.5,3.7,9.0,.412,1.4,3.6,.394,2.3,5.4,.423,.491,1.3,1.5,.852,0.4,2.8,3.2,1.5,0.5,0.1,0.8,1.3,10.1
Derek Fisher\fishede01,PG,31,GSW,82,36,31.6,4.4,10.8,.410,1.4,3.6,.397,3.0,7.2,.417,.476,3.0,3.6,.833,0.4,2.1,2.6,4.3,1.5,0.1,1.9,2.9,13.3
Gerald Fitch\fitchge01,PG,23,MIA,18,1,13.3,1.7,4.9,.337,0.4,1.4,.269,1.3,3.5,.365,.376,0.9,1.3,.739,0.4,1.3,1.7,1.8,0.4,0.3,0.8,1.6,4.7
Marcus Fizer\fizerma01,PF,27,NOK,3,0,13.0,3.0,5.7,.529,0.3,0.3,1.000,2.7,5.3,.500,.559,0.3,0.7,.500,0.3,2.0,2.3,0.3,0.0,0.0,0.7,1.7,6.7
Sharrod Ford\fordsh02,PF,24,PHO,3,0,4.3,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.0,,0.3,0.7,1.0,0.0,0.0,0.3,0.7,2.3,1.3
T.J. Ford\fordtj01,PG,22,MIL,72,70,35.5,4.6,11.0,.416,0.5,1.4,.337,4.1,9.5,.428,.438,2.6,3.4,.754,0.9,3.4,4.3,6.6,1.4,0.1,3.0,2.7,12.2
Danny Fortson\fortsda01,C,29,SEA,23,1,12.0,1.2,2.2,.529,0.0,0.0,,1.2,2.2,.529,.529,1.4,1.9,.767,1.3,2.0,3.4,0.1,0.2,0.1,1.1,3.3,3.8
Jeff Foster\fosteje01,C,29,IND,63,37,25.1,2.2,4.0,.552,0.0,0.1,.000,2.2,3.9,.561,.552,1.5,2.5,.604,3.6,5.6,9.1,0.8,0.7,0.4,1.0,3.0,5.9
